rank,country,HDI,lifeExpectancy,schoolingExpected,schoolingMean,GNIPerCapita,GNIRankMinusHDIRank,HDIRank,continent
75,China,0.788,78.6,15.2,8.1,"18,025",0,74,Asia
89,Brazil,0.76,73.4,15.6,8.3,"14,616",0,84,South America
104,Fiji,0.729,68.3,13.8,10.4,"11,234",0,110,Oceania
107,Viet Nam,0.726,74.6,13.1,8.5,"10,814",0,108,Asia
148,Cambodia,0.6,69.9,11.6,5.2,"4,291",0,147,Asia
191,Central African Republic,0.387,54.5,7.3,4,869,0,191,Africa
30,Italy,0.906,84.1,16.7,10.7,"44,284",1,30,Europe
56,Russian Federation,0.821,70.1,15.7,12.4,"26,992",1,55,Europe
94,Turkmenistan,0.744,69.4,13.2,11.1,"12,860",1,93,Asia
192,South Sudan,0.381,55.6,5.6,5.7,691,1,192,Africa
37,Lithuania,0.879,74.3,16.4,13.5,"38,131",2,36,Europe
45,Turkiye,0.855,78.5,19.7,8.8,"32,834",2,48,Europe
64,Costa Rica,0.806,77.3,16.1,8.8,"20,248",2,60,North America
129,Bangladesh,0.67,73.7,11.9,7.4,"6,511",2,130,Asia
138,Honduras,0.624,70.7,10,7.3,"5,272",2,138,North America
175,Eritrea,0.493,66.6,7.3,5.1,"1,957",2,174,Africa
182,Afghanistan,0.462,62.9,10.7,2.5,"1,335",2,181,Asia
186,Yemen,0.424,63.7,7.9,2.8,"1,106",2,186,Asia
51,Saint Kitts and Nevis,0.838,72,18.4,10.8,"28,442",3,51,North America
60,Trinidad and Tobago,0.814,74.7,14.1,11.7,"22,473",3,60,North America
65,Serbia,0.805,74.1,14.5,11.5,"19,494",3,60,Europe
100,Ukraine,0.734,68.6,13.3,11.1,"11,416",3,86,Europe
120,Bolivia,0.698,64.9,15,9.8,"7,988",3,119,South America
151,Cameroon,0.587,61,13.4,6.5,"3,681",3,152,Africa
10,Netherlands,0.946,82.5,18.6,12.6,"57,278",4,11,Europe
45,Slovakia,0.855,75.3,14.7,13,"32,171",4,45,Europe
76,Armenia,0.786,73.4,14.4,11.3,"15,388",4,79,Asia
120,Morocco,0.698,75,14.6,6.1,"7,955",4,122,Africa
130,Nicaragua,0.669,74.6,12.6,7.3,"5,427",4,129,North America
177,Madagascar,0.487,65.2,9.2,4.6,"1,464",4,177,Africa
183,Mozambique,0.461,59.6,10.7,3.9,"1,219",4,183,Africa
25,Malta,0.915,83.7,15.9,12.2,"44,464",5,25,Europe
39,Croatia,0.878,79.2,15.6,12.3,"34,324",5,37,Europe
69,Belarus,0.801,73.2,14,12.2,"18,425",5,65,Europe
113,Philippines,0.71,72.2,12.8,9,"9,059",5,118,Asia
146,Nepal,0.601,70.5,12.6,4.5,"4,026",5,149,Asia
187,Burundi,0.42,62,10,3.3,712,5,187,Africa
1,Switzerland,0.967,84.3,16.6,13.9,"69,433",6,1,Europe
2,Norway,0.966,83.4,18.6,13.1,"69,190",6,2,Europe
4,"Hong Kong, China (SAR)",0.956,84.3,17.8,12.3,"62,486",6,3,Asia
5,Denmark,0.952,81.9,18.8,13,"62,019",6,8,Europe
32,Czechia,0.895,78.1,16.3,12.9,"39,945",6,31,Europe
144,Myanmar,0.608,67.3,12.1,6.5,"4,038",6,145,Asia
158,Haiti,0.552,63.7,11.1,5.6,"2,802",6,158,North America
29,Cyprus,0.907,81.9,16.2,12.4,"40,137",7,29,Europe
36,Poland,0.881,77,15.9,13.2,"35,151",7,35,Europe
74,Albania,0.789,76.8,14.5,10.1,"15,293",7,74,Europe
18,Canada,0.935,82.8,16,13.9,"48,444",8,16,North America
86,Moldova,0.763,68.6,14.9,11.8,"12,964",8,81,Europe
141,Sao Tome and Principe,0.613,68.8,12.7,5.9,"4,054",8,143,Africa
152,Comoros,0.586,63.7,13,6.2,"3,261",8,151,Africa
161,Rwanda,0.548,67.1,11.4,4.9,"2,317",8,163,Africa
177,Liberia,0.487,61.1,10.5,5.3,"1,330",8,177,Africa
12,Belgium,0.942,82.3,18.9,12.5,"53,644",9,13,Europe
24,Japan,0.92,84.8,15.5,12.7,"43,644",9,22,Asia
25,Israel,0.915,82.6,15,13.4,"43,588",9,26,Asia
31,Estonia,0.899,79.2,15.9,13.5,"37,152",9,32,Europe
81,Saint Vincent,0.772,69,16.3,11,"14,049",9,80,North America
153,Zambia,0.569,61.8,11,7.3,"3,157",9,154,Africa
163,Togo,0.547,61.6,13,5.6,"2,214",9,160,Africa
180,Congo,0.481,59.7,9.6,7.2,"1,080",9,180,Africa
5,Sweden,0.952,83.5,19,12.7,"56,996",10,5,Europe
19,Korea (Republic of),0.929,84,16.5,12.6,"46,026",10,20,Asia
27,Spain,0.911,83.9,17.8,10.6,"40,043",10,28,Europe
66,Thailand,0.803,79.7,15.6,8.8,"16,887",10,69,Asia
78,Iran,0.78,74.6,14.1,10.7,"14,770",10,77,Asia
172,Malawi,0.508,62.9,11.5,5.2,"1,432",10,172,Africa
7,Germany,0.95,81,17.3,14.3,"55,340",11,7,Europe
12,Finland,0.942,82.4,19.2,12.9,"49,522",11,11,Europe
101,Tunisia,0.732,74.3,14.6,8,"10,297",11,101,Africa
50,Montenegro,0.844,76.8,15.1,12.6,"22,513",12,49,Europe
52,Uruguay,0.83,78,17.4,9.1,"22,207",12,56,South America
159,Uganda,0.55,63.6,11.5,6.2,"2,241",12,160,Africa
